Vienna,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11082099999,5/4/13,0,0.154285714,0.095714286,0.04,0.011428571,0.042857143,0.01,0.051428571,0.037857143,0.02,0.081428571,0.059285714,0.2,0.051428571,0.067857143,1.46,0.225714286,0.121538462,0.48,0.297142857,0.173846154,0.08,0.062857143,0.046923077,0,0.058,0.025,0.02,0.014285714,0.072142857,NaN,0,0
11082099999,5/5/13,0.24,0.154285714,0.13,0,0.028571429,0.120714286,0,0.051428571,0.037857143,0.34,0.081428571,0.040714286,0.08,0.057142857,0.065714286,0,0.225714286,0.121538462,0.01,0.188571429,0.181428571,NaN,0.062857143,0.046923077,0,0.052,0.025,0.01,0.11,0.055,0,0,0
11082099999,5/6/13,0.01,0.092857143,0.131428571,0,0.024285714,0.106428571,0,0.05,0.029285714,0.01,0.081428571,0.085714286,0,0.057142857,0.048571429,0,0.263333333,0.136923077,0.75,0.188571429,0.237857143,0.12,0.045714286,0.052307692,0.01,0.043333333,0.038333333,0.01,0.104285714,0.055,0,0,0.010909091
11082099999,5/7/13,0.16,0.087142857,0.154285714,0,0.035714286,0.104285714,0.2,0.03,0.027142857,0,0.052857143,0.139285714,0,0.085714286,0.048571429,0,0.243333333,0.158461538,0.08,0.208571429,0.235714286,0.08,0.051428571,0.046923077,NaN,0.003333333,0.055833333,0,0.101428571,0.063571429,0,0,0.010909091
11082099999,5/8/13,0,0.142857143,0.154285714,0.12,0.041428571,0.104285714,0,0.031428571,0.044285714,0,0.05,0.14,0.04,0.057142857,0.048571429,0,0,0.171666667,0,0.14,0.195384615,0,0.04,0.046923077,0.01,0.003333333,0.0525,0.67,0.098571429,0.063571429,0,0,0.012
11082099999,5/9/13,0,0.111428571,0.092857143,0.01,0.197142857,0.135,0,0.031428571,0.045,0,0.001428571,0.14,0,0.045714286,0.057142857,NaN,0,0.27,0,0.178571429,0.228461538,0,0.045,0.076923077,0,0.003333333,0.049230769,0,0.097142857,0.060714286,0,0,0.012
11082099999,5/10/13,0.2,0.11,0.087142857,0.08,0.197142857,0.264285714,0,0.031428571,0.035,0,0.09,0.125714286,0.28,0.045714286,0.052142857,0,0.033333333,0.260833333,0.14,0.184285714,0.258461538,0,0.03125,0.073846154,0,0.028333333,0.031538462,0,0.095714286,0.059285714,0,0.017142857,0.012
11082099999,5/11/13,0.39,0.127142857,0.142857143,0.08,0.197142857,0.279285714,0.02,0.002857143,0.034285714,0,0.197142857,0.124285714,0,0.045714286,0.037857143,0,0.08,0.14,0,0.174285714,0.221538462,0.08,0.02125,0.067692308,0,0.054285714,0.067692308,0,0.112857143,0.057857143,0,0.02,0.053636364
11082099999,5/12/13,0.02,0.127142857,0.111428571,1.09,0.18,0.304285714,0,0.037142857,0.034285714,0,0.198571429,0.1,0,0.04,0.032142857,0,0.096,0.141666667,0.28,0.203333333,0.220769231,0,0.085,0.062857143,0,0.052857143,0.067692308,0,0.017142857,0.057142857,0,0.024,0.057272727
11082099999,5/13/13,0,0.127142857,0.11,0,0.245714286,0.305,0,0.04,0.034285714,0.63,0.198571429,0.132857143,0,0.057142857,0.032142857,0.2,0.276666667,0.141666667,0.79,0.275,0.163076923,0.08,0.085,0.054285714,0.16,0.054285714,0.07,0,0.017142857,0.056428571,0.12,0.024,0.057272727
11082099999,5/14/13,0.28,0.098571429,0.127142857,0,0.492857143,0.305,0,0.04,0.031428571,0.75,0.198571429,0.132857143,0,0.018571429,0.032142857,0.28,0.278333333,0.141666667,0.01,0.316666667,0.178461538,0.01,0.085,0.048571429,0.21,0.055714286,0.080714286,0.12,0.017142857,0.056428571,NaN,0.03,0.057272727
11082099999,5/15/13,0,0.054285714,0.127142857,0,0.517142857,0.296428571,0.24,0.037142857,0.04,0.01,0.198571429,0.132857143,0,0.018571429,0.099285714,NaN,0.28,0.141666667,NaN,0.316666667,0.181538462,0,0.075,0.048571429,0,0.122857143,0.08,0,0.017142857,0.022857143,NaN,0.1475,0.057272727
11082099999,5/16/13,0,0.051428571,0.127142857,0.47,0.411428571,0.295714286,0.02,0.037142857,0.045714286,0,0.198571429,0.132857143,0.12,0.018571429,0.099285714,1.18,0.283333333,0.130769231,0.43,0.27,0.188461538,0.51,0.075,0.048571429,0.01,0.122857143,0.081428571,0,0.017142857,0.022857143,0,0.1575,0.057272727
11082099999,5/17/13,0,0.062857143,0.098571429,1.81,0.412857143,0.29,0,0.037142857,0.169285714,0,0.175714286,0.132857143,0.01,0.018571429,0.082142857,0.01,0.25,0.130769231,0.39,0.138333333,0.177692308,0,0.065,0.056428571,0.01,0.105714286,0.105714286,0,0.017142857,0.022857143,NaN,0.1275,0.063
